Gen Number,ID,Fitness,Weights
5,29,0.1673255695712029,"[0.852830346669197, 0.035013354912814584, -0.1568230439852272, 0.3985188443363452, -0.10867580741077708, 0.3466321664788531]"
5,32,0.1352413555574479,"[0.8261621661512201, 0.035272630826703365, -0.10977545095660943, 0.41983123045184306, -0.07804982092219058, 0.35424529736302307]"
5,33,0.09219904042016162,"[0.7527830028040563, 0.03598604468800541, 0.019678938014944896, 0.47847359118705424, 0.006219492602933724, 0.37519330220933284]"
5,25,0.086109064558075,"[0.7384935471878014, 0.03612497098863474, 0.04488817536733473, 0.4898932827280127, 0.022629636307251164, 0.3792726017249767]"
5,16,0.07874423535541535,"[0.7548996750369358, 0.03596546577647401, 0.01594473748632777, 0.47678201212050825, 0.0037886865282098503, 0.374589042659757]"
5,35,1.8410955320517678e-05,"[0.9454087148989017, 0.03524292206476887, -0.11516633250790516, 0.4173891809923894, -0.08155905603760076, -0.1949756948328777]"
5,34,1.8264243705660985e-05,"[0.3776321782506199, -0.22261110745308282, 0.016161627970498527, 0.47688026270987666, 0.0039298730291574355, 0.37462413936794603]"
6,39,0.19124633697363466,"[0.8470746511877729, 0.035069313481304314, -0.14666893473041123, 0.40311861837719687, -0.10206591319892092, 0.3482752805638192]"
6,12,0.17916845212976193,"[0.8586308899457773, 0.03495696032083734, -0.16705627302901113, 0.39388322932291, -0.11533720524762078, 0.344976249415665]"
6,38,0.1786791217771487,"[0.8426488706019531, 0.03511234222506454, -0.1388610408362162, 0.4066555655132746, -0.0969833056197727, 0.349538735595622]"
6,24,0.17361316347183464,"[0.8410346074257076, 0.035128036567616185, -0.13601318262159626, 0.40794563478069185, -0.09512947077748207, 0.3499995693159416]"
6,32,0.17163194213607014,"[0.8261621661512201, 0.035272630826703365, -0.10977545095660943, 0.41983123045184306, -0.07804982092219058, 0.35424529736302307]"
6,29,0.16516307729642007,"[0.852830346669197, 0.035013354912814584, -0.1568230439852272, 0.3985188443363452, -0.10867580741077708, 0.3466321664788531]"
6,40,0.16271035910804965,"[0.8437802458328374, 0.03510134266149324, -0.14085699558046352, 0.40575140537584564, -0.09828258745533791, 0.34921575489185697]"
6,31,0.1541990287172419,"[0.8454104860777947, 0.03508549298516887, -0.1437330402934472, 0.40444856772863036, -0.1001547705119043, 0.3487503600986451]"
6,37,3.3516938185662996e-05,"[0.850238008971983, 0.03503855838423628, -0.1522496817759436, 0.4005905605491383, -0.10569874269369933, 0.8799551885315017]"
6,36,3.324459642745115e-05,"[0.8409421591323578, 0.035128935377181744, -0.8774748727629547, 0.40801951660109814, -0.09502330229774206, 0.3500259611035934]"
7,44,0.19154281184026326,"[0.850713689911099, 0.035033933673895595, -0.15308887075698072, 0.40021041103592403, -0.10624501910743595, 0.3472364216107471]"
7,41,0.1809172827398282,"[0.8422782691169527, 0.03511594532197051, -0.13820723140852192, 0.4069517387725633, -0.09655770342825368, 0.349644533499955]"
7,38,0.17700607842943894,"[0.8426488706019531, 0.03511234222506454, -0.1388610408362162, 0.4066555655132746, -0.0969833056197727, 0.349538735595622]"
7,39,0.16826875826285964,"[0.8470746511877729, 0.035069313481304314, -0.14666893473041123, 0.40311861837719687, -0.10206591319892092, 0.3482752805638192]"
7,24,0.16731679218117285,"[0.8410346074257076, 0.035128036567616185, -0.13601318262159626, 0.40794563478069185, -0.09512947077748207, 0.3499995693159416]"
7,42,0.16078547051531605,"[0.8394609574920883, 0.03514333605624853, -0.13323697366363887, 0.40920324719910617, -0.09332227656067746, 0.35044880892201197]"
7,12,0.15477746985640342,"[0.8586308899457773, 0.03495696032083734, -0.16705627302901113, 0.39388322932291, -0.11533720524762078, 0.344976249415665]"
7,32,0.1426367182836924,"[0.8261621661512201, 0.035272630826703365, -0.10977545095660943, 0.41983123045184306, -0.07804982092219058, 0.35424529736302307]"
7,45,2.1471734775609248e-05,"[0.8516534558419295, 0.8718671634248678, -0.4567193370967861, 0.39945937913247065, -0.10732425504108545, 0.34696814080219796]"
7,43,2.1177433462028394e-05,"[0.5592893290351328, 0.03523089047904638, -0.11734955554652206, 0.41640018900831605, 0.17365752475961957, 0.35301967356674674]"
8,44,0.18829387800023537,"[0.850713689911099, 0.035033933673895595, -0.15308887075698072, 0.40021041103592403, -0.10624501910743595, 0.3472364216107471]"
8,46,0.18727573254809363,"[0.8489541563142815, 0.03505104037830782, -0.14998472870546556, 0.4016165759361986, -0.10422435436332185, 0.34773872657897076]"
8,24,0.18110315953414022,"[0.8410346074257076, 0.035128036567616185, -0.13601318262159626, 0.40794563478069185, -0.09512947077748207, 0.3499995693159416]"
8,47,0.1807250022967661,"[0.8423846843289975, 0.035114910721903356, -0.13839496748541563, 0.4068666950221607, -0.09667991164729836, 0.3496141544894028]"
8,39,0.1782758340634046,"[0.8470746511877729, 0.035069313481304314, -0.14666893473041123, 0.40311861837719687, -0.10206591319892092, 0.3482752805638192]"
8,38,0.17752797189381667,"[0.8426488706019531, 0.03511234222506454, -0.1388610408362162, 0.4066555655132746, -0.0969833056197727, 0.349538735595622]"
8,49,0.17741847424343204,"[0.845154648044573, 0.035087980317959594, -0.14328169477851255, 0.4046530255821902, -0.09986096373556902, 0.3488233957686546]"
8,48,0.17650534801898132,"[0.8437032860626187, 0.03510209088707025, -0.14072122434003775, 0.405812909246991, -0.09819420613958627, 0.3492377250747532]"
8,50,0.17025512655103103,"[0.8412472497082735, 0.03512596919664926, -0.1363883228590073, 0.407775697636781, -0.09537367115209608, 0.3499388650047648]"
8,41,0.14899826259047633,"[0.8422782691169527, 0.03511594532197051, -0.13820723140852192, 0.4069517387725633, -0.09655770342825368, 0.349644533499955]"
9,47,0.18771096585827438,"[0.8423846843289975, 0.035114910721903356, -0.13839496748541563, 0.4068666950221607, -0.09667991164729836, 0.3496141544894028]"
9,55,0.18398432716745078,"[0.8446880854751386, 0.03509251637682175, -0.14245859228472454, 0.4050258879760127, -0.0993251589423644, 0.348956588278896]"
9,39,0.1801100771027099,"[0.8470746511877729, 0.035069313481304314, -0.14666893473041123, 0.40311861837719687, -0.10206591319892092, 0.3482752805638192]"
9,46,0.17610486947101492,"[0.8489541563142815, 0.03505104037830782, -0.14998472870546556, 0.4016165759361986, -0.10422435436332185, 0.34773872657897076]"
9,51,0.15702680447918024,"[0.841563431758202, 0.035122895181536176, -0.13694612635812367, 0.40752301470903773, -0.09573677755834376, 0.34984860255406225]"
9,44,0.15170386729684324,"[0.850713689911099, 0.035033933673895595, -0.15308887075698072, 0.40021041103592403, -0.10624501910743595, 0.3472364216107471]"
9,24,0.13544746706680155,"[0.8410346074257076, 0.035128036567616185, -0.13601318262159626, 0.40794563478069185, -0.09512947077748207, 0.3499995693159416]"
9,54,2.134198046773352e-05,"[0.8413141852306922, 0.035125318429764914, -0.13650640947597018, 0.40772220483483773, 0.1924508649895395, 0.34991975650605667]"
9,53,2.0238962651467127e-05,"[0.8455375529184914, 0.03508425760387901, -0.14395720965530148, 0.7765912317268012, -0.10030069525332792, 0.5551333651930422]"
9,52,2.001685906919289e-05,"[0.8440522338559433, 0.03509869831373917, -0.14133683265862937, 0.08965022917056958, -0.09859494103023156, 0.3491381087840756]"
10,55,0.183245604658366,"[0.8446880854751386, 0.03509251637682175, -0.14245859228472454, 0.4050258879760127, -0.0993251589423644, 0.348956588278896]"
10,59,0.1814196901514536,"[0.8458393698921229, 0.03508132325027312, -0.14448967050822573, 0.4041058170320283, -0.10064730467237812, 0.3486279239763014]"
10,51,0.17737062710348345,"[0.841563431758202, 0.035122895181536176, -0.13694612635812367, 0.40752301470903773, -0.09573677755834376, 0.34984860255406225]"
10,47,0.17693325498373852,"[0.8423846843289975, 0.035114910721903356, -0.13839496748541563, 0.4068666950221607, -0.09667991164729836, 0.3496141544894028]"
10,46,0.1753282912112865,"[0.8489541563142815, 0.03505104037830782, -0.14998472870546556, 0.4016165759361986, -0.10422435436332185, 0.34773872657897076]"
10,58,0.1628886660605822,"[0.8473307004818292, 0.03506682409457348, -0.14712065294845408, 0.40291399169050374, -0.10235996258916313, 0.348202184583869]"
10,39,0.1626058538347235,"[0.8470746511877729, 0.035069313481304314, -0.14666893473041123, 0.40311861837719687, -0.10206591319892092, 0.3482752805638192]"
10,56,0.1571485506785596,"[0.8429236434617785, 0.03510967080230681, -0.13934579088039922, 0.40643597553117183, -0.09729885732705049, 0.34946029448323124]"
10,57,0.14814972737297247,"[0.8456918966335916, 0.03508275702877384, -0.1442295004585553, 0.4042236731049392, -0.10047794501095833, 0.3486700240820194]"
10,60,2.3746487499190514e-05,"[0.8421766222194351, 0.06315352881328248, -0.13802790751862243, 0.4070329718332843, -0.09644097118595166, 0.2627922760918784]"
11,55,0.18840295516269817,"[0.8446880854751386, 0.03509251637682175, -0.14245859228472454, 0.4050258879760127, -0.0993251589423644, 0.348956588278896]"
11,64,0.18760200890246267,"[0.8468925870794757, 0.03507108356224528, -0.146347740036738, 0.40326411838876275, -0.10185682908397675, 0.3483272555339467]"
11,62,0.1857341922824348,"[0.8417601294224231, 0.035120982828849935, -0.13729313734560777, 0.40736582001159416, -0.09596266698498486, 0.3497924500519703]"
11,46,0.18194989948071205,"[0.8489541563142815, 0.03505104037830782, -0.14998472870546556, 0.4016165759361986, -0.10422435436332185, 0.34773872657897076]"
11,51,0.17970871360198562,"[0.841563431758202, 0.035122895181536176, -0.13694612635812367, 0.40752301470903773, -0.09573677755834376, 0.34984860255406225]"
