Gen Number,ID,Fitness,Weights,Diversity
38,627,0.053001939232175055,"[0.19368704653778374, 0.673063693122877, 0.6515955459553026, 0.5974220230344338, 0.9602098964042075, 0.0699069727122751]",0.13536087618330006
38,623,0.0526621113716296,"[-0.3812487461557521, 0.6685550044643861, 0.5389127861524495, 0.5941081017186566, 0.9625099935077082, 0.05637167136995729]",0.13536087618330006
38,618,0.05252714578244899,"[0.21341112314256072, 0.6802439266217184, 0.6265604020206115, -0.28911487178429685, 0.9623736384801937, 0.05717407505288785]",0.13536087618330006
39,615,0.2616552784554113,"[0.21221780991078576, 0.6690788961767866, 0.4650758287952445, 0.594493166211769, 0.9622427313608817, 0.057944419620100884]",0.1506385594944931
39,632,0.22994323552648135,"[0.21262052400732448, 0.6689922978068364, 0.485052816551824, 0.5944295157346953, 0.9622869093192588, 0.05768444712658612]",0.1506385594944931
39,642,0.1852096071214751,"[0.21340476692429078, 0.6688236566819341, 0.523955877768391, 0.5943055631930892, 0.9623729411995459, 0.05717817831603948]",0.1506385594944931
39,640,0.14760252369126894,"[0.1067312156047242, 0.6908316292845339, 0.5435421942730467, 0.37066630891502184, 0.9501185414104492, 0.12309754122638063]",0.1506385594944931
39,630,0.1231982861184125,"[0.18586526138891846, 0.6740332644074792, 0.5330280842139632, 0.45717602135666074, 0.9590269602961117, 0.07322450667572165]",0.1506385594944931
39,626,0.11429082312249718,"[0.27402646523997704, 0.6553186384128826, 0.5213145847833999, 0.553554265614041, 0.96895160051369, 0.01766224239212636]",0.1506385594944931
39,601,0.10741137908535721,"[0.12801041589520507, 0.6863145372133634, 0.540714942720238, 0.3939288311312842, 0.9525140214830398, 0.10968664733386194]",0.1506385594944931
39,634,0.09098412515053958,"[0.11245547687458553, 0.68961649831897, 0.2998943351998037, 0.10462774220337923, 0.9507629431555837, 0.11948991220577751]",0.1506385594944931
39,636,0.07641402071724036,"[0.10129887179344393, 0.6917920179688779, 0.5007558751758515, 0.33279421094957085, 0.9494336740213893, 0.12613030939134603]",0.1506385594944931
39,611,0.06812102097556079,"[0.21542171611269584, 0.6683899382859567, 0.6240084202264817, 0.59398677679058, 0.9625942016373106, 0.05587613472156642]",0.1506385594944931
39,633,0.06664257404812292,"[0.1333764505579958, 0.8262607502065364, 0.5358949134113011, 0.4067095992187317, 0.9531339741016789, 0.10638942396425285]",0.1506385594944931
39,629,0.06227912069570916,"[0.1755987017430432, 0.6765741263859296, 0.4979688654093338, 0.5072741379213945, 0.9580120259280149, 0.31424947233882]",0.1506385594944931
39,635,0.059286299281791514,"[0.013259134824265245, 0.6617861225470747, 0.5721259622176829, 0.5735596688317021, 0.9658060544113922, 0.16168765789154524]",0.1506385594944931
39,631,0.05779607957873888,"[0.7067310431421558, 0.9036177586366587, 0.5458489329271152, 0.5632139039092693, 0.7184620410650071, 0.0267918355589584]",0.1506385594944931
39,643,0.05678186941079574,"[0.1474414253688358, 0.6823373816656706, 0.5232610794765703, 0.44020941659032675, 0.9547589389990428, -0.14863113804807593]",0.1506385594944931
39,641,0.055966939594913195,"[-0.30670540283309267, 0.6596452099049318, 0.5553060183172968, 0.5669373378338687, 0.9668473154763015, 0.03031095665606673]",0.1506385594944931
39,639,0.05546323662308994,"[0.2472217378353532, 0.6618690121145898, 0.6543103879064479, 0.6667673784053221, 0.9662613470415837, 0.03629999907639586]",0.1506385594944931
39,638,0.05400647579778126,"[0.23104422527745228, 0.664905468083399, 0.6362237323574731, 0.5832085158848345, 0.9642889196198847, -0.6903247358796016]",0.1506385594944931
39,637,0.053972703500242594,"[0.056324997004593064, 0.7015317273741315, -0.01842278258336827, 0.31556199277453834, 0.9444441227037801, 0.15486529753026115]",0.1506385594944931
