Gen Number,Fitness
180,-0.01036282138916915
181,-0.03398869551017401
182,-0.00941638448053449
183,-0.02419100056416881
184,-0.029051621318110305
185,-0.01381265598571749
186,-0.01991225086043685
187,-0.027217723015191642
188,-0.03150157191300533
189,-0.02621964303005448
190,-0.0317029065498339
191,-0.014939889789504496
192,-0.02364264101332356
193,-0.02621556890492181
194,-0.03614055032627671
195,-0.018695849575748665
196,-0.025958332705796568
197,-0.042119750769897595
198,-0.024043443321493795
199,-0.04421863938354375
200,-0.03593981640094128
201,-0.05501455407009109
202,-0.04179961692120658
203,-0.05702332007185358
204,-0.0437740041240279
205,-0.040597699689300895
206,-0.07928608256154887
207,-0.06669822084418449
208,-0.03139895930405674
209,-0.028701963176118887
210,-0.055651468553390385
211,-0.032787673418629634
212,-0.07057764670709436
213,-0.04323523832346664
214,-0.08565047440354388
215,-0.05458122729255298
216,-0.03956884788041139
217,-0.016081392380755365
218,-0.052985466424159376
219,-0.043877953653945076
220,-0.05011512881208149
221,-0.04199092366978233
222,-0.03392868016186055
223,-0.02949851190289356
224,-0.03610894936737013
225,-0.027041307011465843
226,-0.01107653906046078
227,-0.04580512497767664
228,-0.013389074343932581
229,-0.01433972162067727
230,-0.04096514856345311
231,-0.022615521661935346
232,-0.032132945066401915
233,-0.025424469775808117
234,-0.05521950590216975
235,-0.021512056619136202
236,-0.00994250996783775
237,-0.022532052161722424
238,-0.00389716698885628
239,-0.008289771944396165
240,-0.02857979312209058
241,-0.02897462001238437
242,-0.012184371302713905
243,-0.02847222237523797
244,-0.015406247778871868
245,-0.02382826782765125
246,-0.0371562493885776
247,-0.034409603412539735
248,-0.011895536951357564
249,-0.03369418439764895
250,-0.03344856166199342
251,-0.03233209729351986
252,-0.04950385573499973
253,-0.04061070921999368
254,-0.041466599602082176
255,-0.04472354139278616
256,-0.03499239548119419
257,-0.04843891757743981
258,-0.06041629452728965
259,-0.03719108947708742
260,-0.029542371322075968
261,-0.01815179725476973
262,-0.048132324886860735
263,-0.045859807482843955
264,-0.03080834430833257
265,-0.016091101930109337
266,-0.02581283537142895
267,-0.05912600945146691
268,-0.033125011120488414
269,-0.0168270757127891
270,-0.01656394542063306
271,-0.01583133874097765
272,-0.013535308475933608
273,-0.013406551063415834
274,-0.011584018188176764
275,-0.01366460953575285
276,-0.009697834843106651
277,-0.03036739531103866
278,-0.016193959020360516
279,-0.03853739335323653
280,-0.0102740137893311
281,-0.02382081323381068
282,-0.018530637977071586
283,-0.020203659213800785
284,-0.017598477367689984
285,-0.01851198913182625
286,-0.010117278622553015
287,-0.025588115318062495
288,-0.02876208562177506
289,-0.00787254314309321
290,-0.030009541982465165
291,-0.009948009698030115
292,-0.01952375318854591
293,-0.02951825084966045
294,-0.02960851417998587
295,-0.01714134114689237
296,-0.008023631084917325
297,-0.01504651017687714
298,-0.0156491813952215
299,-0.019705980739911345
300,-0.032389248614458396
301,-0.025884856905959198
302,-0.024139440996560523
303,-0.031133434420813826
304,-0.03434638338407332
305,-0.05534888638809724
306,-0.04093039257799714
307,-0.017290270018247986
308,-0.056134622476584996
309,-0.0539323923723915
310,-0.02466736376881151
311,-0.011406997339590825
312,-0.02339562802533594
313,-0.01724052229903816
314,-0.005804636139368935
315,-0.008766913011872164
316,-0.006131925017410958
317,-0.01415734768706682
318,-0.004316057264237718
319,-0.0012280030513182063
320,-0.010358925035936455
321,-0.01714282404440543
322,-0.002412115424012903
323,-0.014711288512690143
324,-0.025423397321849544
325,-0.014988987555048692
326,-0.03893298054375597
327,-0.028289197007789417
328,-0.031516111309300626
329,-0.023841462238196776
330,-0.018678813273167845
331,-0.017690968892076116
332,-0.004589468248349751
333,-0.0067056135111974915
334,-0.004592938095452406
335,-0.006063553213722974
336,-0.013383504387678557
337,-0.008115866162089383
338,-0.005468707091795318
339,-0.0012334873151267354
340,-0.004705969439383019
341,-0.0053625198217416925
342,-0.004278175622443139
343,-0.00337028058360025
344,-0.0026219066427019357
345,-0.004992513062830483
346,-0.010460077859764385
347,-0.0069782727178623605
348,-0.001785924465182041
349,-0.00503240226877372
350,-0.007716434165576125
351,-0.017720858657086565
352,-0.0060274383526172735
353,-0.007047283293150705
354,-0.007507733502233815
355,-7.80717740852519e-05
356,-0.01397830606943094
357,-0.0025359231934394635
358,-0.002738772160782021
359,-0.019651672351464457
360,-0.0030773384558840954
361,-0.02181457211167519
362,-0.010439550527122334
363,-0.03235335583352207
364,-0.01762238881349133
365,-0.01922602313172888
366,-0.02536224176731705
367,-0.04871819990406206
368,-0.07010414723878448
369,-0.07088713181687441
370,-0.08663795608284187
371,-0.07664673818740608
372,-0.06817899506269828
373,-0.0414894451693177
374,-0.07616179780987854
375,-0.047186286538761384
376,-0.0121077171249886
377,-0.022235484416115676
378,-0.02778191415651941
379,-0.016468155044136023
380,-0.01862761465726073
381,-0.01726208928407553
382,-0.030965415471162022
383,-0.030315560331419862
384,-0.03996575382201564
385,-0.024789820058753763
386,-0.0399282935484592
387,-0.05404821312029342
388,-0.052256859850801876
389,-0.038080514777721564
390,-0.07696344375357735
391,-0.09067146410476698
392,-0.032609429554181474
393,-0.051807339857502355
394,-0.01876164276333169
395,-0.02605363517647042
396,-0.03289254351835625
397,-0.032615537162510436
398,-0.03189162460598054
399,-0.019361527402076056
400,-0.009606995053119604
401,-0.028272902214766322
402,-0.0344592447684659
403,-0.04801513260402679
404,-0.06896124643594503
405,-0.07711834504237679
406,-0.0764933439401759
407,-0.04678745821606247
408,-0.03772134115443766
409,-0.05960833681177989
410,-0.03127659237997236
411,-0.03224976790202354
412,-0.0345189330119287
413,-0.02136779014495884
414,-0.01165141193798935
415,-0.03643035857494055
416,-0.02412133855085036
417,-0.03245825157217257
418,-0.013284793765360032
419,-0.008401482346123836
420,-0.012693753919739644
421,-0.025218678387107646
422,-0.018222427175661776
423,-0.00805203683483161
